"loan_status","loan_amnt","grade","home_ownership","annual_inc","emp_length","int_rate","age","emp_cat","ir_cat"
1,4000,"B","RENT",25000,2,12.69,22,"0-15","11-13.5"
0,10500,"A","MORTGAGE",65000,12,6.03,23,"0-15","0-8"
0,5500,"A","OWN",59000,23,7.9,34,"15-30","0-8"
0,7350,"B","RENT",33000,1,11.71,24,"0-15","11-13.5"
1,10000,"B","RENT",39000,10,12.42,22,"0-15","11-13.5"
0,12000,"A","RENT",42000,13,7.51,32,"0-15","0-8"
0,4500,"A","MORTGAGE",50700,20,8.9,24,"15-30","8-11"
0,18000,"B","OWN",75000,1,12.42,29,"0-15","11-13.5"
0,12000,"C","RENT",40000,6,13.49,24,"0-15","11-13.5"
0,10000,"C","MORTGAGE",50000,10,13.49,25,"0-15","11-13.5"
0,6000,"A","MORTGAGE",80000,7,7.9,25,"0-15","0-8"
0,12000,"B","RENT",40000,4,12.69,27,"0-15","11-13.5"
1,12000,"A","RENT",80000,7,8.9,30,"0-15","8-11"
0,7000,"B","RENT",75000,2,11.71,29,"0-15","11-13.5"
0,1400,"A","RENT",28800,1,7.9,29,"0-15","0-8"
0,3200,"B","RENT",61200,9,9.91,26,"0-15","8-11"
0,8000,"A","RENT",40000,1,7.9,22,"0-15","0-8"
0,5000,"A","MORTGAGE",54000,9,6.03,22,"0-15","0-8"
0,1800,"A","RENT",18000,16,6.62,21,"15-30","0-8"
0,35000,"A","RENT",85000,5,8.9,37,"0-15","8-11"
0,18000,"A","RENT",78000,5,8.9,34,"0-15","8-11"
1,14000,"A","OWN",45600,11,7.9,23,"0-15","0-8"
0,5000,"B","RENT",70000,2,12.42,38,"0-15","11-13.5"
0,8000,"C","RENT",70000,4,15.96,25,"0-15","13.5+"
0,10000,"A","MORTGAGE",80000,9,NA,24,"0-15","Missing"
0,10000,"A","RENT",50000,5,7.51,23,"0-15","0-8"
0,12000,"B","MORTGAGE",35000,10,12.42,23,"0-15","11-13.5"
0,23200,"A","MORTGAGE",65000,3,7.9,31,"0-15","0-8"
0,4800,"C","MORTGAGE",75000,29,15.27,25,"15-30","13.5+"
0,7300,"B","RENT",35000,6,11.71,29,"0-15","11-13.5"
0,10400,"B","RENT",40000,6,9.91,25,"0-15","8-11"
0,6600,"B","MORTGAGE",1e+05,1,9.91,24,"0-15","8-11"
0,12000,"A","OWN",40000,7,8.9,21,"0-15","8-11"
0,13250,"D","RENT",52000,11,17.27,29,"0-15","13.5+"
0,12000,"B","RENT",92500,3,11.71,26,"0-15","11-13.5"
0,25000,"B","RENT",61000,9,9.91,28,"0-15","8-11"
0,6000,"B","RENT",36000,16,NA,25,"15-30","Missing"
0,12000,"A","MORTGAGE",68000,18,7.51,23,"15-30","0-8"
0,14400,"B","RENT",80000,1,11.71,22,"0-15","11-13.5"
0,10000,"B","RENT",43000,15,12.42,27,"0-15","11-13.5"
0,8000,"B","RENT",150000,1,11.71,28,"0-15","11-13.5"
1,8000,"D","RENT",50000,5,16.29,21,"0-15","13.5+"
0,13250,"B","OWN",35000,2,11.71,37,"0-15","11-13.5"
0,14000,"C","RENT",80000,6,14.27,34,"0-15","13.5+"
0,10000,"D","RENT",40000,15,16.29,38,"0-15","13.5+"
0,4000,"A","RENT",55000,1,6.03,45,"0-15","0-8"
0,13000,"B","RENT",110000,6,9.91,40,"0-15","8-11"
0,28000,"B","RENT",1e+05,5,12.69,25,"0-15","11-13.5"
0,10000,"C","RENT",62000,3,13.49,23,"0-15","11-13.5"
0,20000,"A","RENT",45000,0,7.9,22,"0-15","0-8"
0,18000,"B","RENT",110000,5,9.91,27,"0-15","8-11"
0,10000,"B","RENT",33000,3,11.71,26,"0-15","11-13.5"
0,4200,"A","RENT",61000,3,6.03,23,"0-15","0-8"
0,24000,"D","RENT",50964,2,16.29,21,"0-15","13.5+"
0,4475,"C","RENT",43680,3,15.27,28,"0-15","13.5+"
0,12000,"B","RENT",50700,5,12.42,29,"0-15","11-13.5"
1,5000,"B","RENT",30000,2,12.42,26,"0-15","11-13.5"
0,3000,"A","RENT",50000,5,6.03,25,"0-15","0-8"
1,12000,"B","RENT",55000,17,9.91,45,"15-30","8-11"
0,20000,"C","MORTGAGE",50000,13,15.27,25,"0-15","13.5+"
0,10000,"C","RENT",84000,3,NA,25,"0-15","Missing"
0,15000,"B","OWN",155000,6,12.42,32,"0-15","11-13.5"
0,12000,"A","MORTGAGE",62000,0,7.9,26,"0-15","0-8"
0,6300,"B","RENT",30000,2,11.71,21,"0-15","11-13.5"
1,10000,"B","RENT",32000,5,11.71,42,"0-15","11-13.5"
1,24000,"A","MORTGAGE",116400,17,8.9,32,"15-30","8-11"
0,14400,"B","MORTGAGE",40000,9,12.69,22,"0-15","11-13.5"
0,6000,"C","RENT",34000,7,14.65,32,"0-15","13.5+"
0,22000,"C","MORTGAGE",73000,5,15.96,22,"0-15","13.5+"
1,12000,"B","RENT",57200,17,NA,28,"15-30","Missing"
0,16000,"D","MORTGAGE",114000,0,16.77,33,"0-15","13.5+"
0,10000,"B","MORTGAGE",90000,14,10.65,29,"0-15","8-11"
1,10000,"B","RENT",35000,2,12.69,27,"0-15","11-13.5"
0,3500,"C","RENT",56000,7,NA,23,"0-15","Missing"
0,9600,"B","RENT",35000,5,9.91,25,"0-15","8-11"
0,9875,"A","MORTGAGE",40000,15,7.9,22,"0-15","0-8"
0,4800,"A","RENT",48000,6,7.9,23,"0-15","0-8"
0,7800,"A","OWN",85000,12,6.03,30,"0-15","0-8"
0,20000,"C","MORTGAGE",70000,11,14.27,26,"0-15","13.5+"
1,9750,"A","RENT",35000,4,7.51,27,"0-15","0-8"
0,5000,"A","MORTGAGE",30000,9,6.03,25,"0-15","0-8"
0,9000,"C","RENT",45000,4,14.65,28,"0-15","13.5+"
0,7200,"A","RENT",55000,1,7.9,25,"0-15","0-8"
0,25000,"C","OWN",82000,8,15.27,24,"0-15","13.5+"
0,10000,"C","RENT",53000,13,15.96,33,"0-15","13.5+"
1,8875,"B","MORTGAGE",35360,5,12.69,25,"0-15","11-13.5"
0,15550,"B","RENT",54000,13,11.71,23,"0-15","11-13.5"
0,7500,"B","RENT",65000,5,12.69,29,"0-15","11-13.5"
0,8875,"A","OWN",28800,6,8.9,22,"0-15","8-11"
0,4500,"D","RENT",42000,1,17.27,21,"0-15","13.5+"
0,5800,"B","RENT",36000,3,12.42,27,"0-15","11-13.5"
0,10000,"B","RENT",40000,2,11.71,21,"0-15","11-13.5"
0,10000,"B","RENT",50000,4,9.91,35,"0-15","8-11"
0,14000,"B","RENT",52000,1,11.71,39,"0-15","11-13.5"
1,12000,"A","RENT",32000,3,NA,29,"0-15","Missing"
0,24000,"A","OWN",75000,6,7.9,23,"0-15","0-8"
0,14000,"C","RENT",80000,0,14.27,23,"0-15","13.5+"
0,12000,"A","MORTGAGE",40246,7,8.9,38,"0-15","8-11"
1,8050,"B","RENT",36000,1,12.69,22,"0-15","11-13.5"
0,5600,"B","RENT",60000,6,10.65,22,"0-15","8-11"
0,7500,"B","RENT",31200,3,9.91,22,"0-15","8-11"
0,7000,"B","RENT",90000,15,11.71,35,"0-15","11-13.5"
0,5400,"A","RENT",40000,4,7.9,29,"0-15","0-8"
0,16000,"B","RENT",90000,1,12.42,27,"0-15","11-13.5"
0,9800,"D","RENT",67000,4,16.29,39,"0-15","13.5+"
0,5000,"A","RENT",276000,1,6.62,28,"0-15","0-8"
0,9900,"B","RENT",26400,6,11.71,22,"0-15","11-13.5"
0,4000,"B","RENT",24000,NA,11.71,25,"Missing","11-13.5"
0,15000,"B","MORTGAGE",68400,3,11.71,31,"0-15","11-13.5"
0,6250,"C","RENT",29120,1,15.96,25,"0-15","13.5+"
0,6400,"D","RENT",29120,0,16.29,25,"0-15","13.5+"
0,12000,"C","MORTGAGE",54000,4,15.27,32,"0-15","13.5+"
0,15000,"A","MORTGAGE",30000,5,NA,28,"0-15","Missing"
0,6500,"C","MORTGAGE",30000,4,14.27,25,"0-15","13.5+"
0,8000,"C","RENT",50000,16,15.96,24,"15-30","13.5+"
0,15000,"C","MORTGAGE",100500,11,14.65,27,"0-15","13.5+"
0,10200,"C","RENT",40000,3,NA,26,"0-15","Missing"
0,9000,"B","MORTGAGE",47000,5,12.42,28,"0-15","11-13.5"
0,6500,"D","MORTGAGE",68000,3,16.29,25,"0-15","13.5+"
0,2000,"A","RENT",39600,4,7.9,27,"0-15","0-8"
0,8000,"C","OWN",30000,3,13.49,22,"0-15","11-13.5"
0,8875,"A","RENT",30000,1,7.51,25,"0-15","0-8"
1,1500,"E","RENT",17000,0,18.64,21,"0-15","13.5+"
0,8000,"B","RENT",42000,3,12.42,31,"0-15","11-13.5"
0,6500,"B","RENT",42000,4,11.71,20,"0-15","11-13.5"
0,9600,"C","MORTGAGE",27000,3,13.49,21,"0-15","11-13.5"
0,10000,"A","MORTGAGE",46000,5,7.9,40,"0-15","0-8"
0,15000,"B","MORTGAGE",80000,17,12.42,23,"15-30","11-13.5"
0,9000,"A","MORTGAGE",45000,3,6.62,25,"0-15","0-8"
0,10000,"A","RENT",72500,2,7.9,36,"0-15","0-8"
1,1000,"C","RENT",18408,NA,14.65,51,"Missing","13.5+"
0,14000,"A","RENT",30000,2,7.9,24,"0-15","0-8"
1,8500,"C","RENT",50000,9,14.27,25,"0-15","13.5+"
0,4500,"C","MORTGAGE",65000,5,15.96,28,"0-15","13.5+"
0,3000,"A","MORTGAGE",65000,18,7.51,27,"15-30","0-8"
0,10000,"B","MORTGAGE",120000,4,9.91,25,"0-15","8-11"
0,7200,"C","RENT",54990,4,15.27,25,"0-15","13.5+"
0,23000,"A","MORTGAGE",137000,2,7.9,50,"0-15","0-8"
0,7000,"A","RENT",46000,1,8.9,34,"0-15","8-11"
0,21000,"B","MORTGAGE",135000,8,12.69,24,"0-15","11-13.5"
0,8250,"A","MORTGAGE",31500,NA,7.51,25,"Missing","0-8"
0,13000,"B","RENT",65000,13,NA,31,"0-15","Missing"
0,18000,"A","MORTGAGE",78000,2,6.62,29,"0-15","0-8"
0,7200,"A","MORTGAGE",60000,5,6.03,31,"0-15","0-8"
0,16500,"A","RENT",48000,11,8.9,22,"0-15","8-11"
0,8125,"A","RENT",25000,0,7.9,21,"0-15","0-8"
0,18800,"A","MORTGAGE",82000,3,7.51,35,"0-15","0-8"
0,26800,"E","MORTGAGE",82000,13,NA,42,"0-15","Missing"
0,19200,"A","MORTGAGE",42000,5,7.9,24,"0-15","0-8"
0,4000,"B","MORTGAGE",38000,5,12.42,23,"0-15","11-13.5"
0,4000,"D","RENT",35000,4,16.29,25,"0-15","13.5+"
0,12000,"B","OWN",33000,13,9.91,22,"0-15","8-11"
0,2625,"B","MORTGAGE",52800,11,11.71,23,"0-15","11-13.5"
0,7000,"B","RENT",73882,17,9.91,39,"15-30","8-11"
0,11300,"B","MORTGAGE",36000,7,12.69,23,"0-15","11-13.5"
0,4000,"B","MORTGAGE",130000,19,NA,30,"15-30","Missing"
0,8000,"A","MORTGAGE",57200,24,6.03,21,"15-30","0-8"
1,14400,"D","RENT",51871,5,NA,24,"0-15","Missing"
0,4375,"B","OWN",15000,2,12.42,28,"0-15","11-13.5"
0,4100,"A","MORTGAGE",70197,9,7.51,32,"0-15","0-8"
0,6000,"A","RENT",47000,7,8.9,24,"0-15","8-11"
0,4000,"A","MORTGAGE",120000,6,NA,44,"0-15","Missing"
1,3000,"B","MORTGAGE",86004,13,10.65,25,"0-15","8-11"
0,5400,"B","MORTGAGE",75000,12,12.69,23,"0-15","11-13.5"
1,15000,"D","RENT",110000,1,16.29,60,"0-15","13.5+"
0,10400,"B","RENT",44000,4,12.69,24,"0-15","11-13.5"
0,11500,"B","RENT",38500,0,12.42,27,"0-15","11-13.5"
0,10000,"A","RENT",75000,4,6.62,24,"0-15","0-8"
0,3600,"A","RENT",55000,11,8.9,25,"0-15","8-11"
1,10000,"D","RENT",68000,8,17.27,32,"0-15","13.5+"
0,15000,"D","MORTGAGE",66000,17,18.25,24,"15-30","13.5+"
0,8000,"B","RENT",85000,8,11.71,28,"0-15","11-13.5"
1,16000,"A","RENT",51000,1,7.9,51,"0-15","0-8"
0,8000,"B","RENT",55000,2,10.65,23,"0-15","8-11"
0,7200,"A","MORTGAGE",47000,19,7.51,41,"15-30","0-8"
0,12000,"A","RENT",86000,4,7.51,27,"0-15","0-8"
1,2200,"C","OWN",48000,11,15.27,24,"0-15","13.5+"
0,6000,"A","MORTGAGE",50000,2,7.51,24,"0-15","0-8"
0,14400,"C","RENT",42996,2,NA,22,"0-15","Missing"
0,14050,"A","MORTGAGE",120000,3,8.9,33,"0-15","8-11"
0,6000,"C","OWN",62691,17,13.49,38,"15-30","11-13.5"
0,10525,"A","RENT",49668,4,7.9,29,"0-15","0-8"
0,7200,"C","RENT",30000,2,15.96,31,"0-15","13.5+"
0,12000,"C","MORTGAGE",40000,14,13.49,26,"0-15","11-13.5"
0,12000,"B","MORTGAGE",1e+05,5,NA,39,"0-15","Missing"
0,3000,"B","RENT",56312,2,11.71,33,"0-15","11-13.5"
0,9500,"D","RENT",54011,10,16.29,26,"0-15","13.5+"
0,19775,"B","RENT",49110.32,2,12.42,30,"0-15","11-13.5"
0,30000,"B","RENT",80000,2,12.42,29,"0-15","11-13.5"
0,16000,"B","MORTGAGE",55000,9,NA,30,"0-15","Missing"
0,14500,"C","RENT",90000,8,14.65,33,"0-15","13.5+"
0,4150,"B","RENT",1e+05,4,10.65,23,"0-15","8-11"
0,24000,"D","RENT",70000,6,16.77,53,"0-15","13.5+"
1,21250,"B","RENT",37000,5,12.42,22,"0-15","11-13.5"
0,10000,"C","OWN",75000,34,14.27,30,"30-45","13.5+"
0,4000,"C","RENT",39000,6,15.96,30,"0-15","13.5+"
0,15000,"B","RENT",60000,0,11.71,22,"0-15","11-13.5"
0,3600,"C","RENT",40000,3,15.96,23,"0-15","13.5+"
1,15000,"C","RENT",60000,11,15.27,23,"0-15","13.5+"
0,12375,"A","RENT",42000,6,7.51,26,"0-15","0-8"
1,4000,"B","RENT",30000,6,12.69,27,"0-15","11-13.5"
0,13000,"B","MORTGAGE",50000,16,10.65,22,"15-30","8-11"
0,5000,"A","MORTGAGE",39396,1,6.62,22,"0-15","0-8"
0,5000,"C","OWN",98000,7,15.96,31,"0-15","13.5+"
0,26000,"B","RENT",62500,16,11.71,23,"15-30","11-13.5"
