,freq,angle,ch_length,velocity,thickness,dec
147,800,3.0,0.3048,31.7,0.005295140,128.708
148,1000,3.0,0.3048,31.7,0.005295140,126.838
149,1250,3.0,0.3048,31.7,0.005295140,124.838
150,1600,3.0,0.3048,31.7,0.005295140,122.088
151,2000,3.0,0.3048,31.7,0.005295140,120.088
152,2500,3.0,0.3048,31.7,0.005295140,119.598
153,3150,3.0,0.3048,31.7,0.005295140,118.108
154,4000,3.0,0.3048,31.7,0.005295140,115.608
155,5000,3.0,0.3048,31.7,0.005295140,113.858
156,6300,3.0,0.3048,31.7,0.005295140,109.718
157,250,4.0,0.3048,71.3,0.004977730,126.395
158,315,4.0,0.3048,71.3,0.004977730,128.175
159,400,4.0,0.3048,71.3,0.004977730,129.575
160,500,4.0,0.3048,71.3,0.004977730,130.715
161,630,4.0,0.3048,71.3,0.004977730,131.615
162,800,4.0,0.3048,71.3,0.004977730,131.755
163,1000,4.0,0.3048,71.3,0.004977730,131.015
164,1250,4.0,0.3048,71.3,0.004977730,129.395
165,1600,4.0,0.3048,71.3,0.004977730,126.645
166,2000,4.0,0.3048,71.3,0.004977730,124.395
167,2500,4.0,0.3048,71.3,0.004977730,123.775
168,3150,4.0,0.3048,71.3,0.004977730,121.775
169,4000,4.0,0.3048,71.3,0.004977730,119.535
170,5000,4.0,0.3048,71.3,0.004977730,117.785
171,6300,4.0,0.3048,71.3,0.004977730,116.165
172,8000,4.0,0.3048,71.3,0.004977730,113.665
173,10000,4.0,0.3048,71.3,0.004977730,110.905
174,12500,4.0,0.3048,71.3,0.004977730,107.405
175,250,4.0,0.3048,39.6,0.005796360,123.543
176,315,4.0,0.3048,39.6,0.005796360,126.843
177,400,4.0,0.3048,39.6,0.005796360,128.633
178,500,4.0,0.3048,39.6,0.005796360,130.173
179,630,4.0,0.3048,39.6,0.005796360,131.073
180,800,4.0,0.3048,39.6,0.005796360,130.723
181,1000,4.0,0.3048,39.6,0.005796360,128.723
182,1250,4.0,0.3048,39.6,0.005796360,126.343
183,1600,4.0,0.3048,39.6,0.005796360,123.213
184,2000,4.0,0.3048,39.6,0.005796360,120.963
185,2500,4.0,0.3048,39.6,0.005796360,120.233
186,3150,4.0,0.3048,39.6,0.005796360,118.743
187,4000,4.0,0.3048,39.6,0.005796360,115.863
188,5000,4.0,0.3048,39.6,0.005796360,113.733
189,1250,0.0,0.2286,71.3,0.002143450,128.144
190,1600,0.0,0.2286,71.3,0.002143450,129.134
191,2000,0.0,0.2286,71.3,0.002143450,128.244
192,2500,0.0,0.2286,71.3,0.002143450,128.354
193,3150,0.0,0.2286,71.3,0.002143450,127.834
194,4000,0.0,0.2286,71.3,0.002143450,125.824
195,5000,0.0,0.2286,71.3,0.002143450,124.304
196,6300,0.0,0.2286,71.3,0.002143450,122.044
197,8000,0.0,0.2286,71.3,0.002143450,118.024
198,10000,0.0,0.2286,71.3,0.002143450,118.134
199,12500,0.0,0.2286,71.3,0.002143450,117.624
200,16000,0.0,0.2286,71.3,0.002143450,114.984
201,20000,0.0,0.2286,71.3,0.002143450,114.474
202,315,0.0,0.2286,55.5,0.002293360,119.540
203,400,0.0,0.2286,55.5,0.002293360,121.660
204,500,0.0,0.2286,55.5,0.002293360,123.780
205,630,0.0,0.2286,55.5,0.002293360,126.160
206,800,0.0,0.2286,55.5,0.002293360,127.530
207,1000,0.0,0.2286,55.5,0.002293360,128.290
208,1250,0.0,0.2286,55.5,0.002293360,127.910
209,1600,0.0,0.2286,55.5,0.002293360,126.790
210,2000,0.0,0.2286,55.5,0.002293360,126.540
211,2500,0.0,0.2286,55.5,0.002293360,126.540
212,3150,0.0,0.2286,55.5,0.002293360,125.160
213,4000,0.0,0.2286,55.5,0.002293360,123.410
214,5000,0.0,0.2286,55.5,0.002293360,122.410
215,6300,0.0,0.2286,55.5,0.002293360,118.410
216,315,0.0,0.2286,39.6,0.002535110,121.055
217,400,0.0,0.2286,39.6,0.002535110,123.565
218,500,0.0,0.2286,39.6,0.002535110,126.195
219,630,0.0,0.2286,39.6,0.002535110,128.705
220,800,0.0,0.2286,39.6,0.002535110,130.205
221,1000,0.0,0.2286,39.6,0.002535110,130.435
222,1250,0.0,0.2286,39.6,0.002535110,129.395
223,1600,0.0,0.2286,39.6,0.002535110,127.095
224,2000,0.0,0.2286,39.6,0.002535110,125.305
225,2500,0.0,0.2286,39.6,0.002535110,125.025
226,3150,0.0,0.2286,39.6,0.002535110,124.625
227,4000,0.0,0.2286,39.6,0.002535110,123.465
228,5000,0.0,0.2286,39.6,0.002535110,122.175
229,6300,0.0,0.2286,39.6,0.002535110,117.465
230,315,0.0,0.2286,31.7,0.002723800,120.595
231,400,0.0,0.2286,31.7,0.002723800,123.635
232,500,0.0,0.2286,31.7,0.002723800,126.675
233,630,0.0,0.2286,31.7,0.002723800,129.465
234,800,0.0,0.2286,31.7,0.002723800,130.725
235,1000,0.0,0.2286,31.7,0.002723800,130.595
236,1250,0.0,0.2286,31.7,0.002723800,128.805
237,1600,0.0,0.2286,31.7,0.002723800,125.625
238,2000,0.0,0.2286,31.7,0.002723800,123.455
239,2500,0.0,0.2286,31.7,0.002723800,123.445
240,3150,0.0,0.2286,31.7,0.002723800,123.445
241,4000,0.0,0.2286,31.7,0.002723800,122.035
242,5000,0.0,0.2286,31.7,0.002723800,120.505
243,6300,0.0,0.2286,31.7,0.002723800,116.815
244,400,2.0,0.2286,71.3,0.002930310,125.116
245,500,2.0,0.2286,71.3,0.002930310,126.486
246,630,2.0,0.2286,71.3,0.002930310,127.356
247,800,2.0,0.2286,71.3,0.002930310,128.216
248,1000,2.0,0.2286,71.3,0.002930310,128.956
249,1250,2.0,0.2286,71.3,0.002930310,128.816
250,1600,2.0,0.2286,71.3,0.002930310,127.796
251,2000,2.0,0.2286,71.3,0.002930310,126.896
252,2500,2.0,0.2286,71.3,0.002930310,127.006
253,3150,2.0,0.2286,71.3,0.002930310,126.116
254,4000,2.0,0.2286,71.3,0.002930310,124.086
255,5000,2.0,0.2286,71.3,0.002930310,122.816
256,6300,2.0,0.2286,71.3,0.002930310,120.786
257,8000,2.0,0.2286,71.3,0.002930310,115.996
258,10000,2.0,0.2286,71.3,0.002930310,113.086
259,400,2.0,0.2286,55.5,0.003135250,122.292
260,500,2.0,0.2286,55.5,0.003135250,124.692
261,630,2.0,0.2286,55.5,0.003135250,126.842
262,800,2.0,0.2286,55.5,0.003135250,128.492
263,1000,2.0,0.2286,55.5,0.003135250,129.002
264,1250,2.0,0.2286,55.5,0.003135250,128.762
265,1600,2.0,0.2286,55.5,0.003135250,126.752
266,2000,2.0,0.2286,55.5,0.003135250,124.612
267,2500,2.0,0.2286,55.5,0.003135250,123.862
268,3150,2.0,0.2286,55.5,0.003135250,123.742
269,4000,2.0,0.2286,55.5,0.003135250,122.232
270,5000,2.0,0.2286,55.5,0.003135250,120.472
271,6300,2.0,0.2286,55.5,0.003135250,118.712
272,315,2.0,0.2286,39.6,0.003465740,120.137
273,400,2.0,0.2286,39.6,0.003465740,122.147
274,500,2.0,0.2286,39.6,0.003465740,125.157
275,630,2.0,0.2286,39.6,0.003465740,127.417
276,800,2.0,0.2286,39.6,0.003465740,129.037
277,1000,2.0,0.2286,39.6,0.003465740,129.147
278,1250,2.0,0.2286,39.6,0.003465740,128.257
279,1600,2.0,0.2286,39.6,0.003465740,125.837
280,2000,2.0,0.2286,39.6,0.003465740,122.797
281,2500,2.0,0.2286,39.6,0.003465740,121.397
282,3150,2.0,0.2286,39.6,0.003465740,121.627
283,4000,2.0,0.2286,39.6,0.003465740,120.227
284,5000,2.0,0.2286,39.6,0.003465740,118.827
285,6300,2.0,0.2286,39.6,0.003465740,116.417
286,315,2.0,0.2286,31.7,0.003723710,120.147
287,400,2.0,0.2286,31.7,0.003723710,123.417
288,500,2.0,0.2286,31.7,0.003723710,126.677
289,630,2.0,0.2286,31.7,0.003723710,129.057
290,800,2.0,0.2286,31.7,0.003723710,130.307
291,1000,2.0,0.2286,31.7,0.003723710,130.307
292,1250,2.0,0.2286,31.7,0.003723710,128.677
293,1600,2.0,0.2286,31.7,0.003723710,125.797
294,2000,2.0,0.2286,31.7,0.003723710,123.037
295,2500,2.0,0.2286,31.7,0.003723710,121.407
296,3150,2.0,0.2286,31.7,0.003723710,121.527
297,4000,2.0,0.2286,31.7,0.003723710,120.527
298,5000,2.0,0.2286,31.7,0.003723710,118.267
299,6300,2.0,0.2286,31.7,0.003723710,115.137
300,500,4.0,0.2286,71.3,0.004006030,126.758
301,630,4.0,0.2286,71.3,0.004006030,129.038
302,800,4.0,0.2286,71.3,0.004006030,130.688
303,1000,4.0,0.2286,71.3,0.004006030,131.708
304,1250,4.0,0.2286,71.3,0.004006030,131.718
305,1600,4.0,0.2286,71.3,0.004006030,129.468
306,2000,4.0,0.2286,71.3,0.004006030,126.218
307,2500,4.0,0.2286,71.3,0.004006030,124.338
308,3150,4.0,0.2286,71.3,0.004006030,124.108
309,4000,4.0,0.2286,71.3,0.004006030,121.728
310,5000,4.0,0.2286,71.3,0.004006030,121.118
311,6300,4.0,0.2286,71.3,0.004006030,118.618
312,8000,4.0,0.2286,71.3,0.004006030,112.848
313,10000,4.0,0.2286,71.3,0.004006030,113.108
314,12500,4.0,0.2286,71.3,0.004006030,114.258
315,16000,4.0,0.2286,71.3,0.004006030,112.768
316,20000,4.0,0.2286,71.3,0.004006030,109.638
317,400,4.0,0.2286,55.5,0.004286200,123.274
318,500,4.0,0.2286,55.5,0.004286200,127.314
319,630,4.0,0.2286,55.5,0.004286200,129.964
320,800,4.0,0.2286,55.5,0.004286200,131.864
321,1000,4.0,0.2286,55.5,0.004286200,132.134
322,1250,4.0,0.2286,55.5,0.004286200,131.264
323,1600,4.0,0.2286,55.5,0.004286200,128.264
324,2000,4.0,0.2286,55.5,0.004286200,124.254
325,2500,4.0,0.2286,55.5,0.004286200,122.384
326,3150,4.0,0.2286,55.5,0.004286200,122.394
327,4000,4.0,0.2286,55.5,0.004286200,120.654
328,5000,4.0,0.2286,55.5,0.004286200,120.034
329,6300,4.0,0.2286,55.5,0.004286200,117.154
330,8000,4.0,0.2286,55.5,0.004286200,112.524
331,315,4.0,0.2286,39.6,0.004738010,122.229
332,400,4.0,0.2286,39.6,0.004738010,123.879
333,500,4.0,0.2286,39.6,0.004738010,127.039
334,630,4.0,0.2286,39.6,0.004738010,129.579
335,800,4.0,0.2286,39.6,0.004738010,130.469
336,1000,4.0,0.2286,39.6,0.004738010,129.969
337,1250,4.0,0.2286,39.6,0.004738010,128.339
338,1600,4.0,0.2286,39.6,0.004738010,125.319
339,2000,4.0,0.2286,39.6,0.004738010,121.659
340,2500,4.0,0.2286,39.6,0.004738010,119.649
341,3150,4.0,0.2286,39.6,0.004738010,120.419
342,4000,4.0,0.2286,39.6,0.004738010,119.159
343,5000,4.0,0.2286,39.6,0.004738010,117.649
344,6300,4.0,0.2286,39.6,0.004738010,114.249
345,8000,4.0,0.2286,39.6,0.004738010,113.129
346,250,4.0,0.2286,31.7,0.005090680,120.189
347,315,4.0,0.2286,31.7,0.005090680,123.609
348,400,4.0,0.2286,31.7,0.005090680,126.149
349,500,4.0,0.2286,31.7,0.005090680,128.939
350,630,4.0,0.2286,31.7,0.005090680,130.349
351,800,4.0,0.2286,31.7,0.005090680,130.869
352,1000,4.0,0.2286,31.7,0.005090680,129.869
353,1250,4.0,0.2286,31.7,0.005090680,128.119
354,1600,4.0,0.2286,31.7,0.005090680,125.229
355,2000,4.0,0.2286,31.7,0.005090680,122.089
356,2500,4.0,0.2286,31.7,0.005090680,120.209
357,3150,4.0,0.2286,31.7,0.005090680,120.229
358,4000,4.0,0.2286,31.7,0.005090680,118.859
359,5000,4.0,0.2286,31.7,0.005090680,115.969
360,6300,4.0,0.2286,31.7,0.005090680,112.699
361,400,5.3,0.2286,71.3,0.005194200,127.700
362,500,5.3,0.2286,71.3,0.005194200,129.880
363,630,5.3,0.2286,71.3,0.005194200,131.800
364,800,5.3,0.2286,71.3,0.005194200,133.480
365,1000,5.3,0.2286,71.3,0.005194200,134.000
366,1250,5.3,0.2286,71.3,0.005194200,133.380
367,1600,5.3,0.2286,71.3,0.005194200,130.460
368,2000,5.3,0.2286,71.3,0.005194200,125.890
369,2500,5.3,0.2286,71.3,0.005194200,123.740
370,3150,5.3,0.2286,71.3,0.005194200,123.120
371,4000,5.3,0.2286,71.3,0.005194200,120.330
372,5000,5.3,0.2286,71.3,0.005194200,118.050
373,6300,5.3,0.2286,71.3,0.005194200,116.920
374,8000,5.3,0.2286,71.3,0.005194200,114.900
375,10000,5.3,0.2286,71.3,0.005194200,111.350
376,250,5.3,0.2286,39.6,0.006143290,127.011
377,315,5.3,0.2286,39.6,0.006143290,129.691
378,400,5.3,0.2286,39.6,0.006143290,131.221
379,500,5.3,0.2286,39.6,0.006143290,132.251
380,630,5.3,0.2286,39.6,0.006143290,132.011
381,800,5.3,0.2286,39.6,0.006143290,129.491
382,1000,5.3,0.2286,39.6,0.006143290,125.581
383,1250,5.3,0.2286,39.6,0.006143290,125.721
384,1600,5.3,0.2286,39.6,0.006143290,123.081
385,2000,5.3,0.2286,39.6,0.006143290,117.911
386,2500,5.3,0.2286,39.6,0.006143290,116.151
387,3150,5.3,0.2286,39.6,0.006143290,118.441
388,4000,5.3,0.2286,39.6,0.006143290,115.801
389,5000,5.3,0.2286,39.6,0.006143290,115.311
390,6300,5.3,0.2286,39.6,0.006143290,112.541
391,200,7.3,0.2286,71.3,0.010440400,138.758
392,250,7.3,0.2286,71.3,0.010440400,139.918
393,315,7.3,0.2286,71.3,0.010440400,139.808
394,400,7.3,0.2286,71.3,0.010440400,139.438
395,500,7.3,0.2286,71.3,0.010440400,136.798
396,630,7.3,0.2286,71.3,0.010440400,133.768
397,800,7.3,0.2286,71.3,0.010440400,130.748
398,1000,7.3,0.2286,71.3,0.010440400,126.838
399,1250,7.3,0.2286,71.3,0.010440400,127.358
400,1600,7.3,0.2286,71.3,0.010440400,125.728
401,2000,7.3,0.2286,71.3,0.010440400,122.708
402,2500,7.3,0.2286,71.3,0.010440400,122.088
403,3150,7.3,0.2286,71.3,0.010440400,120.458
404,4000,7.3,0.2286,71.3,0.010440400,119.208
405,5000,7.3,0.2286,71.3,0.010440400,115.298
406,6300,7.3,0.2286,71.3,0.010440400,115.818
407,200,7.3,0.2286,55.5,0.011170600,135.234
408,250,7.3,0.2286,55.5,0.011170600,136.384
409,315,7.3,0.2286,55.5,0.011170600,136.284
410,400,7.3,0.2286,55.5,0.011170600,135.924
411,500,7.3,0.2286,55.5,0.011170600,133.174
412,630,7.3,0.2286,55.5,0.011170600,130.934
413,800,7.3,0.2286,55.5,0.011170600,128.444
414,1000,7.3,0.2286,55.5,0.011170600,125.194
415,1250,7.3,0.2286,55.5,0.011170600,125.724
416,1600,7.3,0.2286,55.5,0.011170600,123.354
417,2000,7.3,0.2286,55.5,0.011170600,120.354
418,2500,7.3,0.2286,55.5,0.011170600,118.994
419,3150,7.3,0.2286,55.5,0.011170600,117.134
420,4000,7.3,0.2286,55.5,0.011170600,117.284
421,5000,7.3,0.2286,55.5,0.011170600,113.144
422,6300,7.3,0.2286,55.5,0.011170600,111.534
423,200,7.3,0.2286,39.6,0.012348100,130.989
424,250,7.3,0.2286,39.6,0.012348100,131.889
425,315,7.3,0.2286,39.6,0.012348100,132.149
426,400,7.3,0.2286,39.6,0.012348100,132.039
427,500,7.3,0.2286,39.6,0.012348100,130.299
428,630,7.3,0.2286,39.6,0.012348100,128.929
429,800,7.3,0.2286,39.6,0.012348100,126.299
430,1000,7.3,0.2286,39.6,0.012348100,122.539
431,1250,7.3,0.2286,39.6,0.012348100,123.189
432,1600,7.3,0.2286,39.6,0.012348100,121.059
433,2000,7.3,0.2286,39.6,0.012348100,117.809
434,2500,7.3,0.2286,39.6,0.012348100,116.559
435,3150,7.3,0.2286,39.6,0.012348100,114.309
436,4000,7.3,0.2286,39.6,0.012348100,114.079
437,5000,7.3,0.2286,39.6,0.012348100,111.959
438,6300,7.3,0.2286,39.6,0.012348100,110.839
439,200,7.3,0.2286,31.7,0.013267200,128.679
440,250,7.3,0.2286,31.7,0.013267200,130.089
441,315,7.3,0.2286,31.7,0.013267200,130.239
442,400,7.3,0.2286,31.7,0.013267200,130.269
443,500,7.3,0.2286,31.7,0.013267200,128.169
444,630,7.3,0.2286,31.7,0.013267200,126.189
445,800,7.3,0.2286,31.7,0.013267200,123.209
446,1000,7.3,0.2286,31.7,0.013267200,119.099
447,1250,7.3,0.2286,31.7,0.013267200,120.509
448,1600,7.3,0.2286,31.7,0.013267200,119.039
449,2000,7.3,0.2286,31.7,0.013267200,115.309
450,2500,7.3,0.2286,31.7,0.013267200,114.709
451,3150,7.3,0.2286,31.7,0.013267200,113.229
452,4000,7.3,0.2286,31.7,0.013267200,112.639
453,5000,7.3,0.2286,31.7,0.013267200,111.029
454,6300,7.3,0.2286,31.7,0.013267200,110.689
455,800,0.0,0.1524,71.3,0.001598800,125.817
456,1000,0.0,0.1524,71.3,0.001598800,127.307
457,1250,0.0,0.1524,71.3,0.001598800,128.927
458,1600,0.0,0.1524,71.3,0.001598800,129.667
459,2000,0.0,0.1524,71.3,0.001598800,128.647
460,2500,0.0,0.1524,71.3,0.001598800,128.127
461,3150,0.0,0.1524,71.3,0.001598800,129.377
462,4000,0.0,0.1524,71.3,0.001598800,128.857
463,5000,0.0,0.1524,71.3,0.001598800,126.457
464,6300,0.0,0.1524,71.3,0.001598800,125.427
465,8000,0.0,0.1524,71.3,0.001598800,122.527
466,10000,0.0,0.1524,71.3,0.001598800,120.247
467,12500,0.0,0.1524,71.3,0.001598800,117.087
468,16000,0.0,0.1524,71.3,0.001598800,113.297
469,500,0.0,0.1524,55.5,0.001726680,120.573
470,630,0.0,0.1524,55.5,0.001726680,123.583
471,800,0.0,0.1524,55.5,0.001726680,126.713
472,1000,0.0,0.1524,55.5,0.001726680,128.583
473,1250,0.0,0.1524,55.5,0.001726680,129.953
474,1600,0.0,0.1524,55.5,0.001726680,130.183
475,2000,0.0,0.1524,55.5,0.001726680,129.673
476,2500,0.0,0.1524,55.5,0.001726680,127.763
477,3150,0.0,0.1524,55.5,0.001726680,127.753
478,4000,0.0,0.1524,55.5,0.001726680,127.233
479,5000,0.0,0.1524,55.5,0.001726680,125.203
480,6300,0.0,0.1524,55.5,0.001726680,123.303
481,8000,0.0,0.1524,55.5,0.001726680,121.903
482,10000,0.0,0.1524,55.5,0.001726680,119.253
483,12500,0.0,0.1524,55.5,0.001726680,117.093
484,16000,0.0,0.1524,55.5,0.001726680,112.803
485,500,0.0,0.1524,39.6,0.001932870,119.513
486,630,0.0,0.1524,39.6,0.001932870,124.403
487,800,0.0,0.1524,39.6,0.001932870,127.903
488,1000,0.0,0.1524,39.6,0.001932870,130.033
489,1250,0.0,0.1524,39.6,0.001932870,131.023
490,1600,0.0,0.1524,39.6,0.001932870,131.013
491,2000,0.0,0.1524,39.6,0.001932870,129.633
492,2500,0.0,0.1524,39.6,0.001932870,126.863
493,3150,0.0,0.1524,39.6,0.001932870,125.603
494,4000,0.0,0.1524,39.6,0.001932870,125.343
495,5000,0.0,0.1524,39.6,0.001932870,123.453
496,6300,0.0,0.1524,39.6,0.001932870,121.313
497,8000,0.0,0.1524,39.6,0.001932870,120.553
498,10000,0.0,0.1524,39.6,0.001932870,115.413
499,500,0.0,0.1524,31.7,0.002094050,121.617
500,630,0.0,0.1524,31.7,0.002094050,125.997
501,800,0.0,0.1524,31.7,0.002094050,129.117
502,1000,0.0,0.1524,31.7,0.002094050,130.987
503,1250,0.0,0.1524,31.7,0.002094050,131.467
