,area,perimeter,compactness,length,width,asymmetry,groove_length
149,12.70,13.71,0.8491,5.386,2.911,3.2600,5.316
150,10.79,12.93,0.8107,5.317,2.648,5.4620,5.194
151,11.83,13.23,0.8496,5.263,2.840,5.1950,5.307
152,12.01,13.52,0.8249,5.405,2.776,6.9920,5.270
153,12.26,13.60,0.8333,5.408,2.833,4.7560,5.360
154,11.18,13.04,0.8266,5.220,2.693,3.3320,5.001
155,11.36,13.05,0.8382,5.175,2.755,4.0480,5.263
156,11.19,13.05,0.8253,5.250,2.675,5.8130,5.219
157,11.34,12.87,0.8596,5.053,2.849,3.3470,5.003
158,12.13,13.73,0.8081,5.394,2.745,4.8250,5.220
159,11.75,13.52,0.8082,5.444,2.678,4.3780,5.310
160,11.49,13.22,0.8263,5.304,2.695,5.3880,5.310
161,12.54,13.67,0.8425,5.451,2.879,3.0820,5.491
162,12.02,13.33,0.8503,5.350,2.810,4.2710,5.308
163,12.05,13.41,0.8416,5.267,2.847,4.9880,5.046
164,12.55,13.57,0.8558,5.333,2.968,4.4190,5.176
165,11.14,12.79,0.8558,5.011,2.794,6.3880,5.049
166,12.10,13.15,0.8793,5.105,2.941,2.2010,5.056
167,12.44,13.59,0.8462,5.319,2.897,4.9240,5.270
168,12.15,13.45,0.8443,5.417,2.837,3.6380,5.338
169,11.35,13.12,0.8291,5.176,2.668,4.3370,5.132
170,11.24,13.00,0.8359,5.090,2.715,3.5210,5.088
171,11.02,13.00,0.8189,5.325,2.701,6.7350,5.163
172,11.55,13.10,0.8455,5.167,2.845,6.7150,4.956
173,11.27,12.97,0.8419,5.088,2.763,4.3090,5.000
174,11.40,13.08,0.8375,5.136,2.763,5.5880,5.089
175,10.83,12.96,0.8099,5.278,2.641,5.1820,5.185
176,10.80,12.57,0.8590,4.981,2.821,4.7730,5.063
177,11.26,13.01,0.8355,5.186,2.710,5.3350,5.092
178,10.74,12.73,0.8329,5.145,2.642,4.7020,4.963
179,11.48,13.05,0.8473,5.180,2.758,5.8760,5.002
180,12.21,13.47,0.8453,5.357,2.893,1.6610,5.178
181,11.41,12.95,0.8560,5.090,2.775,4.9570,4.825
182,12.46,13.41,0.8706,5.236,3.017,4.9870,5.147
183,12.19,13.36,0.8579,5.240,2.909,4.8570,5.158
184,11.65,13.07,0.8575,5.108,2.850,5.2090,5.135
185,12.89,13.77,0.8541,5.495,3.026,6.1850,5.316
186,11.56,13.31,0.8198,5.363,2.683,4.0620,5.182
187,11.81,13.45,0.8198,5.413,2.716,4.8980,5.352
188,10.91,12.80,0.8372,5.088,2.675,4.1790,4.956
189,11.23,12.82,0.8594,5.089,2.821,7.5240,4.957
190,10.59,12.41,0.8648,4.899,2.787,4.9750,4.794
191,10.93,12.80,0.8390,5.046,2.717,5.3980,5.045
192,11.27,12.86,0.8563,5.091,2.804,3.9850,5.001
193,11.87,13.02,0.8795,5.132,2.953,3.5970,5.132
194,10.82,12.83,0.8256,5.180,2.630,4.8530,5.089
195,12.11,13.27,0.8639,5.236,2.975,4.1320,5.012
196,12.80,13.47,0.8860,5.160,3.126,4.8730,4.914
197,12.79,13.53,0.8786,5.224,3.054,5.4830,4.958
198,13.37,13.78,0.8849,5.320,3.128,4.6700,5.091
199,12.62,13.67,0.8481,5.410,2.911,3.3060,5.231
200,12.76,13.38,0.8964,5.073,3.155,2.8280,4.830
201,12.38,13.44,0.8609,5.219,2.989,5.4720,5.045
202,12.67,13.32,0.8977,4.984,3.135,2.3000,4.745
203,11.18,12.72,0.8680,5.009,2.810,4.0510,4.828
204,12.70,13.41,0.8874,5.183,3.091,8.4560,5.000
205,12.37,13.47,0.8567,5.204,2.960,3.9190,5.001
206,12.19,13.20,0.8783,5.137,2.981,3.6310,4.870
207,11.23,12.88,0.8511,5.140,2.795,4.3250,5.003
208,13.20,13.66,0.8883,5.236,3.232,8.3150,5.056
209,11.84,13.21,0.8521,5.175,2.836,3.5980,5.044
210,12.30,13.34,0.8684,5.243,2.974,5.6370,5.063
