avg_capital_seq,spam
258,2.000,0
259,1.681,0
260,8.016,1
261,5.187,1
262,10.068,1
263,5.977,1
264,2.500,1
265,2.166,0
266,2.125,0
267,4.793,1
268,5.500,0
269,1.000,0
270,1.000,0
271,1.958,0
272,2.166,0
273,6.723,1
274,6.298,1
275,1.500,0
276,1.384,0
277,2.142,0
278,2.111,0
279,7.000,1
280,2.000,0
281,1.066,0
282,1.153,0
283,2.337,1
284,5.037,1
285,1.125,0
286,5.838,1
287,1.837,0
288,2.444,0
289,2.051,1
290,1.682,0
291,1.477,1
292,1.494,1
293,2.322,0
294,2.700,1
295,53.433,1
296,18.000,0
297,2.988,0
298,13.928,1
299,3.083,0
300,5.250,1
301,2.250,0
302,2.423,0
303,3.476,1
304,6.800,0
305,6.294,1
306,6.161,1
307,4.062,0
308,3.280,1
309,7.941,1
310,2.222,0
311,1.958,0
312,2.785,0
313,15.493,1
314,1.981,0
315,6.269,1
316,2.151,0
317,48.500,1
318,2.148,0
319,1.000,0
320,4.000,1
321,16.217,1
322,4.047,1
323,2.432,0
324,2.214,0
325,1.103,1
326,5.263,0
327,1.206,1
328,6.590,1
329,1.266,0
330,1.831,0
331,4.689,0
332,1.911,0
333,1.779,1
334,2.972,1
335,2.062,0
336,1.222,0
337,3.298,1
338,1.714,0
339,2.057,0
340,13.250,0
341,1.420,1
342,3.052,1
343,7.666,1
344,3.400,0
345,1.547,0
346,3.761,1
347,2.030,0
348,1.000,0
349,1.353,0
350,9.310,0
351,5.225,1
352,1.333,0
353,1.800,1
354,2.250,0
355,2.293,0
356,4.333,1
357,5.774,1
358,2.559,1
359,3.000,1
360,2.800,0
361,4.413,0
362,1.971,1
363,1.000,1
364,1.666,0
365,1.263,0
366,1.200,1
367,2.276,0
368,2.522,1
369,2.900,1
370,24.785,1
371,2.133,0
372,5.635,1
373,2.666,0
374,4.913,1
375,1.714,0
376,4.333,1
377,2.179,1
378,2.862,0
379,3.904,1
380,1.000,0
381,1.000,0
382,1.250,0
383,1.000,0
384,3.000,0
385,2.204,0
386,4.153,1
387,1.428,0
388,3.722,0
389,1.480,0
390,2.000,1
391,1.000,0
392,3.370,1
393,9.744,1
394,5.610,0
395,4.930,1
396,1.210,0
397,5.052,0
398,2.430,0
399,4.617,1
400,2.000,0
401,3.812,1
402,15.892,1
403,1.596,0
404,1.222,0
405,56.538,1
406,8.550,1
407,2.213,0
408,1.666,1
409,3.155,1
410,1.800,0
411,3.071,1
412,1.800,0
413,1.592,0
414,6.238,1
415,1.347,0
416,2.322,1
417,1.287,1
418,71.500,1
419,1.263,0
420,1.884,0
421,2.457,0
422,1.000,0
423,1.480,0
424,1.612,0
425,2.036,1
426,1.500,0
427,1.823,0
428,3.181,1
429,4.133,1
430,1.285,0
431,1.979,1
432,1.869,1
433,1.277,0
434,1.000,0
435,1.442,0
436,1.076,0
437,2.166,1
438,4.382,0
439,32.000,1
440,1.000,0
441,1.390,1
442,1.181,0
443,1.000,0
444,6.482,1
445,3.166,1
446,2.142,0
447,4.080,1
448,2.280,0
449,2.208,0
450,1.987,1
451,1.864,1
452,1.550,0
453,1.000,0
454,1.666,0
455,2.340,1
456,2.100,0
457,3.280,0
458,3.315,1
459,8.550,1
460,1.000,0
461,15.916,1
462,4.891,0
463,1.266,1
464,2.000,0
465,5.459,1
466,9.785,1
467,1.428,0
468,1.000,0
469,1.100,0
470,64.416,1
471,2.232,0
472,2.202,0
473,3.548,1
474,4.250,0
475,2.058,0
476,3.414,0
477,3.714,1
478,4.133,0
479,1.373,0
480,1.684,0
481,4.041,1
482,2.375,0
483,2.000,0
484,1.300,0
485,1.434,1
486,3.417,1
487,1.426,0
488,1.081,0
489,2.437,1
490,1.375,0
491,1.040,0
492,2.235,0
493,2.333,0
494,2.682,0
495,1.229,1
496,4.000,0
497,1.250,0
498,2.703,0
499,3.904,0
500,1.552,0
501,1.997,0
502,2.128,1
503,2.962,1
504,2.700,0
505,5.549,1
506,2.769,0
507,1.611,0
508,1.450,0
509,1.181,1
510,1.500,0
511,2.000,0
512,1.000,0
513,2.546,0
514,1.517,1
515,3.538,1
516,1.214,0
517,1.958,0
518,1.477,1
519,4.000,1
520,5.058,1
521,1.000,0
522,1.666,0
523,1.529,0
524,2.934,1
525,1.796,1
526,1.000,0
527,1.156,0
528,1.696,1
529,2.093,1
530,2.370,1
531,1.102,1
532,1.302,0
533,2.270,0
534,2.758,0
535,1.000,0
536,1.200,0
537,4.333,1
538,1.294,0
539,2.592,1
540,4.411,0
541,3.789,0
542,2.285,0
543,1.000,1
544,7.484,1
545,7.709,1
546,1.590,0
547,4.500,1
548,1.333,0
549,1.909,1
550,1.769,0
551,1.000,0
552,1.400,0
553,1.636,1
554,2.750,1
555,2.256,1
556,1.000,0
557,6.027,1
558,27.479,1
559,9.785,1
560,1.732,1
561,1.068,0
562,2.588,1
563,4.208,0
564,2.887,0
565,2.875,0
566,1.720,0
567,3.666,0
568,6.686,1
569,8.550,1
570,3.184,0
571,1.800,0
572,6.094,1
573,2.776,1
574,1.000,0
575,4.000,1
576,2.131,1
577,2.689,1
578,11.066,1
579,1.000,0
580,1.536,0
581,35.461,1
582,3.574,0
583,3.125,0
584,1.000,0
585,1.363,0
586,1.666,0
587,1.250,0
588,3.750,0
589,4.333,1
590,1.541,1
591,4.176,0
592,1.645,0
593,1.269,0
594,3.000,1
595,3.185,0
596,6.718,1
597,1.250,0
598,3.401,1
599,2.055,1
600,7.273,1
601,1.543,1
602,2.868,1
603,1.000,0
604,1.272,0
605,1.600,0
606,3.600,1
607,1.405,0
608,1.000,0
609,1.607,1
610,3.167,0
611,6.641,1
612,1.428,1
613,2.166,0
614,4.268,0
615,1.194,1
616,1.444,0
617,1.941,1
618,3.922,1
619,2.922,1
620,1.200,0
621,2.375,1
622,2.016,0
623,2.962,1
624,1.760,0
625,1.700,0
626,2.413,1
627,8.086,1
628,17.904,0
629,1.166,0
630,2.555,0
631,1.285,0
632,3.600,1
633,1.793,0
634,4.071,1
635,2.221,0
636,6.100,1
637,3.000,0
638,2.787,1
639,1.583,0
640,3.555,0
641,1.714,0
642,1.800,1
643,1.763,1
644,2.380,0
645,1.761,0
646,1.813,0
647,1.793,0
648,1.357,1
649,5.632,1
650,3.333,0
651,1.000,0
652,8.478,0
653,4.833,1
654,1.272,0
655,1.348,1
656,2.000,0
657,2.104,1
658,1.000,0
659,1.000,0
660,1.891,0
661,2.000,0
662,12.692,1
663,6.266,1
664,3.048,1
665,3.338,1
666,1.974,0
667,1.681,0
668,1.000,0
669,2.297,0
670,5.525,0
671,4.333,0
672,1.681,0
673,1.969,0
674,2.611,1
675,5.888,0
676,6.758,1
677,1.536,0
678,1.000,1
679,2.379,1
680,1.880,0
681,1.571,0
682,1.153,0
683,2.782,1
684,5.019,1
685,1.333,1
686,8.851,1
687,2.777,1
688,2.232,1
689,2.812,0
690,1.500,0
691,1.722,0
692,3.000,1
693,1.600,0
694,4.476,1
695,2.310,0
696,1.873,0
697,3.318,1
698,1.902,0
699,5.857,0
700,2.666,1
701,2.535,0
702,4.070,1
703,1.238,0
704,2.360,0
705,2.173,0
706,1.000,0
707,1.679,0
708,1.379,1
709,1.411,0
710,3.400,1
711,2.440,1
712,1.071,0
713,1.000,0
714,3.560,1
715,2.784,0
716,6.110,1
717,4.924,1
718,6.789,1
719,2.750,1
720,4.750,0
721,2.676,1
722,1.000,0
723,3.025,1
724,4.192,1
725,2.818,1
726,6.111,1
727,1.703,0
728,1.114,0
729,82.250,1
730,3.302,0
731,5.634,1
732,1.820,0
733,1.631,0
734,1.197,0
735,3.826,1
736,2.000,1
737,2.545,0
738,2.604,0
739,1.000,0
740,1.465,0
741,3.577,1
742,3.685,1
743,3.186,1
744,3.664,1
745,17.857,0
746,3.444,0
747,1.642,0
748,2.000,0
749,1.428,1
750,1.846,1
751,1.626,0
752,4.215,1
753,2.430,0
754,2.088,1
755,1.920,0
756,4.180,1
757,2.678,1
758,1.600,0
759,5.297,1
760,2.566,0
761,3.659,0
762,4.022,1
763,1.841,1
764,2.000,0
765,1.711,1
766,1.000,0
767,1.769,0
768,2.434,0
769,1.500,0
770,3.629,1
771,14.000,0
772,1.000,1
773,1.890,1
774,12.176,1
775,2.222,0
776,2.577,0
777,3.343,1
778,1.346,0
779,2.468,1
780,4.179,0
781,1.315,0
782,2.125,1
783,1.166,0
784,6.033,1
785,1.800,0
786,5.250,0
787,1.000,0
788,3.350,1
789,1.705,0
790,1.562,0
791,1.000,0
792,1.964,0
793,5.593,0
794,4.653,1
795,1.807,0
796,3.657,0
797,3.525,0
798,1.000,0
799,2.890,1
800,2.033,1
801,1.857,0
802,1.800,0
803,1.833,0
804,5.038,1
805,8.476,1
806,2.093,0
807,1.933,0
808,1.866,0
809,3.761,1
810,2.900,1
811,3.533,0
812,2.111,1
813,31.388,1
814,1.400,0
815,1.500,0
816,2.264,1
817,1.270,0
818,6.187,0
819,1.300,0
820,1.333,0
821,1.833,0
822,4.590,1
823,2.040,1
824,4.037,0
825,3.850,0
826,1.477,1
827,1.800,0
828,2.287,0
829,5.571,1
830,3.015,0
831,8.636,1
832,1.000,0
833,3.809,1
834,1.875,0
835,2.714,0
836,1.428,0
837,2.413,1
838,2.000,0
839,2.235,1
840,1.000,0
841,1.837,0
842,1.545,0
843,6.090,0
844,3.500,1
845,3.740,0
846,2.662,0
847,2.386,0
848,14.619,1
849,1.000,0
850,2.234,0
851,14.880,1
852,2.375,0
853,1.375,0
854,1.394,1
855,3.750,1
856,1.000,0
857,1.750,0
858,1.389,0
859,2.538,1
860,4.393,0
861,5.833,1
862,1102.500,1
863,2.698,1
864,1.490,1
865,1.142,0
866,1.948,1
867,2.000,0
868,2.000,0
869,3.591,0
870,1.000,0
871,2.151,0
872,1.800,0
873,1.735,0
874,2.315,1
875,1.700,0
876,2.464,0
877,2.000,0
878,4.786,1
879,1.461,1
880,3.923,1
881,1.260,0
882,4.223,0
883,1.666,0
884,1.571,0
885,1.500,0
886,1.612,1
887,2.527,1
888,1.583,0
889,2.235,0
890,4.685,1
891,2.037,0
892,1.076,0
893,2.300,1
894,4.904,1
895,4.979,1
896,3.606,0
897,6.113,0
898,3.800,1
899,3.150,1
900,1.514,0
901,2.250,1
902,3.335,1
903,1.559,1
904,1.000,0
905,2.192,0
906,1.780,0
907,1.766,0
908,5.114,1
909,3.211,1
910,1.150,0
911,1.688,0
912,1.859,0
913,1.000,0
914,6.305,1
915,1.494,1
916,1.647,0
917,1.250,1
918,4.965,1
919,1.740,0
920,4.255,0
921,2.075,0
922,2.604,0
923,443.666,1
924,2.878,1
925,8.125,0
926,8.550,1
927,1.333,0
928,1.329,0
929,3.367,0
930,2.527,0
931,1.000,0
932,12.200,1
933,2.704,0
934,1.285,0
935,2.750,0
936,1.827,1
937,3.282,1
938,1.800,0
939,2.257,1
940,1.428,0
941,7.055,1
942,6.894,0
943,2.135,0
944,2.675,1
945,2.172,0
946,2.097,0
947,2.290,0
948,7.059,1
949,1.375,0
950,5.761,1
951,16.739,1
952,1.400,0
953,1.076,0
954,1.933,0
955,5.150,0
956,1.857,0
957,6.000,1
958,1.629,0
959,1.800,0
960,1.500,0
961,4.818,1
962,3.200,1
963,1.857,0
964,2.100,0
965,1.672,1
966,3.718,1
967,1.000,0
968,1.350,0
969,1.000,0
970,6.813,1
971,5.500,0
972,4.035,1
973,3.076,0
974,2.360,0
975,443.333,1
976,2.150,0
977,50.166,1
978,4.176,1
979,5.101,1
980,2.157,1
981,1.230,0
982,1.000,0
983,5.425,1
984,3.100,1
985,36.642,1
986,1.795,0
987,2.133,1
988,1.666,1
989,1.428,0
990,1.325,1
991,6.266,1
992,7.781,1
993,2.030,1
994,1.275,0
995,1.533,0
996,2.829,0
997,3.176,0
998,4.159,1
999,2.362,0
1000,1.777,0
1001,3.100,0
1002,3.000,0
1003,3.631,0
1004,1.000,0
1005,1.512,0
1006,1.878,0
1007,5.666,1
1008,2.838,0
1009,1.065,0
1010,1.600,0
1011,11.035,1
1012,9.310,0
1013,4.192,1
1014,2.576,0
1015,2.620,0
1016,1.000,0
1017,2.483,0
1018,8.026,1
1019,1.764,0
1020,1.967,0
1021,1.950,0
1022,4.923,1
1023,2.666,0
1024,1.690,1
1025,1.000,0
1026,1.076,0
1027,1.818,0
1028,1.645,0
1029,18.400,1
1030,2.423,0
1031,2.391,1
1032,1.246,1
1033,2.333,0
1034,2.288,0
1035,3.925,1
1036,2.095,0
1037,4.750,0
1038,1.960,0
1039,4.066,1
1040,3.950,1
1041,2.097,0
1042,1.200,0
1043,2.111,0
1044,6.725,1
1045,4.623,1
1046,1.090,0
1047,4.068,0
1048,1.100,1
1049,1.663,0
1050,3.384,1
1051,5.833,1
1052,2.000,0
1053,1.769,0
1054,1.677,0
1055,2.090,0
1056,3.851,0
1057,1.590,0
1058,5.250,1
1059,1.545,0
1060,3.257,1
1061,5.300,0
1062,3.702,1
1063,1.919,0
1064,5.955,1
1065,3.384,1
1066,1.750,0
1067,1.555,0
1068,1.857,0
1069,1.117,0
1070,2.111,1
1071,3.041,0
1072,2.000,0
1073,3.196,0
1074,1.649,0
1075,3.716,0
1076,5.000,0
1077,2.166,1
1078,5.105,1
1079,1.000,0
1080,2.630,0
1081,4.114,0
1082,4.176,1
1083,1.300,0
1084,3.902,1
1085,1.538,0
1086,6.100,1
1087,20.000,0
1088,5.086,1
1089,2.559,1
1090,6.978,1
1091,1.494,1
1092,2.000,1
1093,1.130,0
1094,2.000,0
1095,3.857,0
1096,3.651,0
1097,15.086,1
1098,1.705,0
1099,4.000,0
1100,1.796,1
1101,1.771,0
1102,1.732,0
1103,9.411,1
1104,1.529,0
1105,2.283,0
1106,1.442,1
1107,2.413,1
1108,3.294,0
1109,1.746,0
1110,2.062,0
1111,2.538,0
1112,1.877,0
1113,2.356,0
1114,3.485,1
1115,2.000,0
1116,1.678,0
1117,3.689,1
1118,1.491,0
1119,4.523,1
1120,2.818,1
1121,2.222,0
1122,2.370,1
1123,4.110,0
1124,1.695,0
1125,2.141,1
1126,1.800,0
1127,1.000,0
1128,1.000,0
1129,1.230,0
1130,3.500,1
1131,3.657,0
1132,1.000,0
1133,2.333,1
1134,1.480,0
1135,4.808,0
1136,1.558,1
1137,6.588,1
1138,1.000,0
1139,4.333,1
1140,16.587,1
1141,1.000,0
1142,3.621,1
1143,2.457,0
1144,2.603,0
1145,1.846,0
1146,1.000,0
1147,1.515,1
1148,1.733,0
1149,1.607,0
1150,1.777,0
1151,3.571,0
1152,2.060,0
1153,1.704,0
1154,3.117,0
1155,3.772,0
1156,5.938,1
1157,1.000,0
1158,5.538,1
1159,2.150,1
1160,2.106,1
1161,1.263,0
1162,2.524,0
1163,2.157,0
1164,1.836,0
1165,6.601,1
1166,2.238,0
1167,2.166,0
1168,3.571,1
1169,2.500,0
1170,2.400,0
1171,1.666,0
1172,1.000,0
1173,2.962,1
1174,1.740,1
1175,2.000,0
1176,1.195,0
1177,1.813,0
1178,1.333,0
1179,5.105,1
1180,6.000,1
1181,1.400,0
1182,2.926,0
1183,2.630,0
1184,5.473,0
1185,1.411,0
1186,1.250,0
1187,2.333,1
1188,3.333,0
1189,1.948,0
1190,1.954,1
1191,2.777,1
1192,5.500,1
1193,1.580,1
1194,2.307,0
1195,2.854,0
1196,1.000,0
1197,5.800,0
1198,2.032,1
1199,5.960,1
1200,6.815,1
1201,3.956,0
1202,1.000,0
1203,1.000,0
1204,1.750,0
1205,3.533,1
1206,1.576,0
1207,1.000,0
1208,2.900,0
1209,2.171,0
1210,4.500,1
1211,1.612,1
1212,12.382,1
1213,2.440,0
1214,1.619,0
1215,2.186,0
1216,2.655,0
1217,1.480,0
1218,2.108,0
1219,2.125,0
1220,1.000,0
1221,1.750,0
1222,1.571,0
1223,2.250,0
1224,2.571,0
1225,5.782,1
1226,1.500,0
1227,1.894,1
1228,3.341,1
1229,5.000,1
1230,3.000,1
1231,3.290,1
1232,1.919,0
1233,2.411,1
1234,9.444,1
1235,2.063,0
1236,4.190,0
1237,5.357,0
1238,2.160,0
1239,5.875,1
1240,3.782,0
1241,2.634,0
1242,3.621,1
1243,1.666,0
1244,3.200,0
1245,2.533,0
1246,2.388,0
1247,1.787,1
1248,4.115,0
1249,1.947,0
1250,2.565,0
1251,3.272,1
1252,4.461,0
1253,1.058,0
1254,1.444,0
1255,1.102,1
1256,1.767,0
1257,3.066,1
1258,1.333,0
1259,2.983,0
1260,49.866,1
1261,3.387,0
1262,3.937,0
1263,4.058,1
1264,7.046,0
1265,1.559,1
1266,1.000,0
1267,1.125,0
1268,1.506,0
1269,4.022,1
1270,2.222,0
1271,3.142,0
1272,1.693,1
1273,2.375,0
1274,4.064,1
1275,2.750,0
1276,1.250,0
1277,2.043,0
1278,1.052,0
1279,2.133,1
1280,5.846,0
1281,3.598,1
1282,1.120,0
1283,1.000,0
1284,1.411,0
1285,6.529,1
1286,2.742,1
1287,1.462,0
1288,1.416,1
1289,1.000,0
1290,2.035,0
1291,1.285,0
1292,1.000,0
1293,1.625,0
1294,4.330,1
1295,1.400,0
1296,2.403,1
1297,3.697,1
1298,2.950,0
1299,2.861,1
1300,1.478,0
1301,1.800,0
1302,1.222,0
1303,3.459,1
1304,3.096,1
1305,1.515,1
1306,18.454,0
1307,2.932,1
1308,2.740,1
1309,1.714,0
1310,1.363,0
1311,1.300,0
1312,2.333,0
1313,1.535,0
1314,6.050,1
1315,2.921,0
1316,2.195,0
1317,1.000,1
1318,3.315,0
1319,1.110,0
1320,2.666,0
1321,3.176,0
1322,3.071,0
1323,2.409,0
1324,3.846,0
1325,2.541,0
1326,1.000,0
1327,6.602,1
1328,1.720,0
1329,1.777,1
1330,4.875,1
1331,3.260,0
1332,2.250,0
1333,4.444,1
1334,1.312,0
1335,1.000,0
1336,3.632,1
1337,2.724,0
1338,2.065,0
1339,3.700,0
1340,3.080,0
1341,3.575,1
1342,3.338,0
1343,1.788,0
1344,4.352,0
1345,8.550,1
1346,1.400,0
1347,3.400,1
1348,6.544,1
1349,1.361,1
1350,5.279,1
1351,2.678,1
1352,4.897,1
1353,4.818,1
1354,4.470,1
1355,1.230,0
1356,2.511,1
1357,2.727,0
1358,2.484,0
1359,6.652,1
1360,1.421,1
1361,1.000,0
1362,1.000,0
1363,1.377,1
1364,1.229,0
1365,5.500,1
1366,5.783,1
1367,5.549,1
1368,2.600,0
1369,1.571,0
1370,1.568,0
1371,1.890,0
1372,2.291,0
1373,1.000,0
1374,1.666,0
1375,5.500,0
1376,3.737,1
1377,2.725,0
1378,2.000,0
1379,1.915,0
1380,6.275,1
1381,1.333,0
1382,2.013,0
1383,4.215,1
1384,1.875,0
1385,2.293,1
1386,6.813,1
1387,4.941,1
1388,1.000,0
1389,5.289,1
1390,2.780,0
1391,1.000,0
1392,1.924,0
1393,1.375,0
1394,3.333,0
1395,1.294,0
1396,2.686,1
1397,1.250,0
1398,1.136,0
1399,1.352,0
1400,2.157,1
1401,2.193,0
1402,3.244,1
1403,6.268,1
1404,8.760,0
1405,4.000,1
1406,1.000,0
1407,2.829,0
1408,1.696,0
1409,1.433,0
1410,44.720,1
1411,7.541,1
1412,1.000,0
1413,3.666,1
1414,1.804,0
1415,1.361,0
1416,1.235,0
1417,6.166,1
1418,4.320,1
1419,2.606,1
1420,2.227,0
1421,2.557,0
1422,2.731,0
1423,2.000,0
1424,1.733,1
1425,1.240,0
1426,1.722,0
1427,1.487,0
1428,3.875,1
1429,4.757,0
1430,5.769,1
1431,5.264,0
1432,2.141,0
1433,3.583,0
1434,1.800,0
1435,4.309,0
1436,1.325,1
1437,3.925,1
1438,3.333,1
1439,5.857,0
1440,1.000,1
1441,2.171,0
1442,2.000,0
1443,1.000,0
1444,4.297,1
1445,2.150,1
1446,13.936,1
1447,1.420,1
1448,3.554,1
1449,2.182,0
1450,1.364,1
1451,6.000,0
1452,1.000,0
1453,2.246,0
1454,5.160,1
1455,1.000,0
1456,2.364,0
1457,4.476,0
1458,2.533,0
1459,1.312,1
1460,2.840,1
1461,2.250,0
1462,1.074,0
1463,6.978,1
1464,4.054,0
1465,1.517,0
1466,2.567,0
1467,1.614,0
1468,1.000,0
1469,5.500,1
1470,104.666,1
1471,1.166,0
1472,1.055,0
1473,2.307,0
1474,1.535,0
1475,3.472,0
1476,1.403,0
1477,1.827,0
1478,1.000,0
1479,6.137,0
1480,1.800,0
1481,295.000,1
1482,1.736,0
1483,1.888,0
1484,4.326,0
1485,1.428,0
1486,6.142,1
1487,2.562,0
1488,1.000,0
1489,1.786,0
1490,2.950,0
1491,2.879,0
1492,1.888,1
1493,3.000,0
1494,1.555,0
1495,2.966,1
1496,3.591,1
1497,1.859,1
1498,4.758,0
1499,4.155,1
1500,3.414,1
1501,2.500,1
1502,1.488,0
1503,1.800,1
1504,3.631,1
1505,2.257,1
1506,5.038,1
1507,1.189,0
1508,2.240,0
1509,2.410,1
1510,4.000,1
1511,1.625,0
1512,1.300,0
1513,3.061,0
1514,1.000,1
1515,193.500,1
1516,1.043,0
1517,1.000,0
1518,1.000,0
1519,1.333,1
1520,4.818,1
1521,6.685,1
1522,8.312,1
1523,4.194,1
1524,1.533,0
1525,4.029,1
1526,1.537,1
1527,4.600,1
1528,1.866,1
1529,1.222,0
1530,1.000,0
1531,3.066,1
1532,3.694,1
1533,1.748,1
1534,1.203,0
1535,1.538,0
1536,4.586,0
1537,2.162,1
1538,9.039,1
1539,2.300,0
1540,1.419,0
1541,2.777,0
1542,1.307,0
1543,4.333,1
1544,8.026,1
1545,3.552,1
1546,6.300,1
1547,6.428,0
1548,3.700,0
1549,1.428,0
1550,1.611,0
1551,2.333,0
1552,2.142,0
1553,9.705,1
1554,1.800,0
1555,5.783,1
1556,2.950,1
1557,16.217,1
1558,5.392,1
1559,1.625,0
1560,1.166,0
1561,2.145,0
1562,1.148,0
1563,1.718,0
1564,1.000,0
1565,1.125,0
1566,2.925,0
1567,3.875,0
1568,5.454,1
1569,1.909,0
1570,5.603,0
1571,2.625,1
1572,4.536,0
1573,3.000,0
1574,2.405,1
1575,2.941,0
1576,1.348,1
1577,1.522,0
1578,2.080,0
1579,1.296,0
1580,1.838,1
1581,1.200,0
1582,2.022,1
1583,2.926,1
1584,6.586,1
1585,2.000,0
1586,1.307,0
1587,14.301,1
1588,6.602,1
1589,1.873,0
1590,2.345,0
1591,1.884,0
1592,2.176,0
1593,2.900,0
1594,6.090,0
1595,8.763,1
1596,1.671,0
1597,6.073,1
1598,1.937,0
1599,2.200,0
1600,2.500,0
1601,1.363,0
1602,1.494,1
1603,4.111,1
1604,2.823,1
1605,8.117,0
1606,4.947,1
1607,129.500,1
1608,1.466,0
1609,9.727,1
1610,3.131,1
1611,1.000,0
1612,3.416,1
1613,6.500,1
1614,1.538,0
1615,1.100,0
1616,2.028,0
1617,1.000,0
1618,1.461,1
1619,9.218,1
1620,1.000,0
1621,1.033,0
1622,4.052,0
1623,2.000,0
1624,1.000,0
1625,2.142,0
1626,2.627,1
1627,1.937,0
1628,6.487,1
1629,2.552,0
1630,1.312,0
1631,2.409,0
1632,1.611,0
1633,2.882,0
1634,2.724,0
1635,1.000,0
1636,1.300,1
1637,1.181,0
1638,4.020,1
1639,5.200,0
1640,1.750,0
1641,2.297,1
1642,1.222,0
1643,1.000,0
1644,2.541,0
1645,1.512,1
1646,1.733,1
1647,3.454,1
1648,1.502,0
1649,4.100,1
1650,6.049,1
1651,3.000,0
1652,2.162,1
1653,1.903,1
1654,1.196,0
1655,1.348,0
1656,1.000,0
1657,1.428,1
1658,1.387,0
1659,5.466,1
1660,15.160,1
1661,1.637,0
1662,5.888,0
1663,3.391,0
